         132356 function calls (120601 primitive calls) in 0.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.384    0.384 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\ui\tabs\flow_tab.py:213(refresh_data)
        1    0.000    0.000    0.319    0.319 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:14(load_comprehensive_data)
        1    0.000    0.000    0.296    0.296 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:570(read_sql)
        1    0.000    0.000    0.296    0.296 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:2727(read_query)
        1    0.000    0.000    0.285    0.285 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:2767(_fetchall_as_list)
        1    0.285    0.285    0.285    0.285 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.055    0.055 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\ui\tabs\flow_tab.py:320(update_strike_chart)
        1    0.000    0.000    0.027    0.027 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\_figure.py:762(update_layout)
        1    0.000    0.000    0.027    0.027 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:1367(update_layout)
        1    0.000    0.000    0.027    0.027 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5110(update)
  7343/14    0.006    0.000    0.026    0.002 C:\Python311\Lib\copy.py:128(deepcopy)
     28/7    0.000    0.000    0.026    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5892(__setitem__)
        2    0.000    0.000    0.026    0.013 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:3852(_perform_update)
    272/7    0.001    0.000    0.026    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4811(__setitem__)
     83/4    0.000    0.000    0.024    0.006 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5251(_set_compound_prop)
