         4040070 function calls (4012306 primitive calls) in 8.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.867    8.867 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\ui\tabs\flow_tab.py:213(refresh_data)
        1    0.125    0.125    8.125    8.125 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:14(load_comprehensive_data)
        2    0.111    0.055    5.760    2.880 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:570(read_sql)
        2    0.000    0.000    5.649    2.824 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:2727(read_query)
        2    0.000    0.000    3.558    1.779 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:2767(_fetchall_as_list)
        2    3.558    1.779    3.558    1.779 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.102    0.102    2.239    2.239 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:88(_preprocess_data)
        2    0.118    0.059    2.090    1.045 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:194(_wrap_result)
        2    0.200    0.100    1.970    0.985 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:160(_convert_arrays_to_dataframe)
        2    0.000    0.000    1.264    0.632 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:1006(convert_object_array)
        2    0.000    0.000    1.264    0.632 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:1070(<listcomp>)
       33    1.260    0.038    1.263    0.038 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:1028(convert)
        2    0.001    0.001    0.720    0.360 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\base.py:891(_map_values)
        2    0.138    0.069    0.719    0.359 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:1667(map_array)
        1    0.000    0.000    0.659    0.659 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:4789(apply)
        1    0.000    0.000    0.659    0.659 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:1409(apply)
        1    0.000    0.000    0.659    0.659 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:1482(apply_standard)
       18    0.079    0.004    0.619    0.034 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:1782(_consolidate_inplace)
        4    0.000    0.000    0.539    0.135 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2259(_consolidate)
       12    0.343    0.029    0.539    0.045 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2276(_merge_blocks)
   748674    0.196    0.000    0.516    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:146(_get_market_session)
        8    0.000    0.000    0.507    0.063 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:694(__init__)
        4    0.000    0.000    0.506    0.127 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
        4    0.084    0.021    0.506    0.126 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
        1    0.067    0.067    0.459    0.459 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:211(compute_comprehensive_metrics)
       22    0.000    0.000    0.449    0.020 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:6662(copy)
       25    0.000    0.000    0.448    0.018 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:557(copy)
        4    0.000    0.000    0.420    0.105 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
748790/748786    0.151    0.000    0.380    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:101(isna)
